house_id,city,sale_date,months_listed,bedrooms,house_type,area,sale_price
1000093,Riverford,2023-01-05,2.3,5.0,Terr.,79.4 sq.m.,288447.88
1000094,Teasdale,,5.3,3.0,Terr.,143.6 sq.m.,307364.12
1000095,Riverford,2023-01-05,4.7,5.0,Semi,57.0 sq.m.,259074.57
1000096,Riverford,2023-01-05,9.3,3.0,Terr.,245.9 sq.m.,406417.41
1000097,Riverford,2023-01-05,6.6,4.0,Det.,284.2 sq.m.,464161.37
1000098,Silvertown,2023-01-05,1.5,4.0,Detached,120.9 sq.m.,
1000099,Silvertown,2023-01-05,4.7,3.0,Semi-detached,234.9 sq.m.,380576.27
1000100,Silvertown,,6.0,5.0,Detached,,343696.89
1000101,Teasdale,2023-01-05,6.7,4.0,nan,66.9 sq.m.,243612.79
1000102,Riverford,2023-01-05,7.7,6.0,Semi-detached,,381173.28
1000103,Riverford,2023-01-05,11.9,4.0,Semi-detached,127.4 sq.m.,301042.07
1000104,Poppleton,2023-01-05,4.3,4.0,Detached,134.5 sq.m.,306741.95
1000105,Silvertown,2023-01-05,10.1,,Semi,258.6 sq.m.,421937.42
1000106,Riverford,2023-01-05,8.8,,Semi-detached,83.2 sq.m.,246759.35
1000107,Teasdale,2023-01-05,10.0,1.0,Detached,209.1 sq.m.,340854.25
1000108,Silvertown,2023-01-05,8.4,3.0,Semi-detached,216.8 sq.m.,389907.81
1000109,Silvertown,2023-01-05,7.4,,Terraced,232.0 sq.m.,396596.96
1000110,Silvertown,2023-01-05,9.0,2.0,Semi,206.2 sq.m.,
1000111,Silvertown,2023-01-05,1.3,1.0,Det.,146.8 sq.m.,257815.34
1000112,Poppleton,2023-01-05,11.6,6.0,Semi-detached,134.7 sq.m.,341481.76
1000113,Poppleton,2023-01-05,9.5,5.0,Terraced,,359502.87
1000114,Teasdale,2023-01-05,8.9,5.0,Det.,160.8 sq.m.,368520.34
1000115,Poppleton,2023-01-05,2.9,2.0,Det.,72.1 sq.m.,198969.86
1000116,Poppleton,2023-01-05,7.8,4.0,nan,56.2 sq.m.,245369.86
1000117,Silvertown,2023-01-05,2.6,2.0,Semi-detached,242.9 sq.m.,386200.05
1000118,Poppleton,2023-01-05,1.3,5.0,Detached,211.3 sq.m.,420524.62
1000119,Riverford,2023-01-05,2.2,3.0,Semi-detached,71.3 sq.m.,218422.89
1000120,Poppleton,2023-01-05,,1.0,Terraced,185.5 sq.m.,312678.68
1000121,Poppleton,2023-01-05,2.7,5.0,Det.,289.3 sq.m.,500925.56
1000122,Riverford,2023-01-05,5.5,6.0,Semi-detached,237.6 sq.m.,446483.94
1000123,Silvertown,2023-01-05,11.1,3.0,Detached,54.7 sq.m.,202821.84
1000124,Silvertown,,9.1,2.0,nan,183.0 sq.m.,314757.35
1000125,Riverford,2023-01-05,2.5,6.0,Semi-detached,118.7 sq.m.,338027.78
1000126,Poppleton,,4.6,1.0,Semi,257.4 sq.m.,388693.49
1000127,Poppleton,2023-01-05,6.8,3.0,nan,194.9 sq.m.,367837.4
1000128,Silvertown,2023-01-05,2.9,,Detached,183.4 sq.m.,
1000129,Riverford,2023-01-05,4.8,4.0,Terraced,197.2 sq.m.,368085.23
1000130,Riverford,2023-01-05,9.5,1.0,Det.,283.5 sq.m.,399881.65
1000131,Silvertown,,8.1,3.0,Semi-detached,95.1 sq.m.,240642.85
1000132,Silvertown,2023-01-05,7.7,4.0,Detached,,326613.74
1000133,Riverford,2023-01-05,3.7,1.0,nan,145.5 sq.m.,254257.12
1000134,Poppleton,,3.5,2.0,Semi,294.9 sq.m.,436386.35
1000135,Riverford,2023-01-05,4.3,5.0,Detached,121.3 sq.m.,309839.78
1000136,Riverford,,3.3,6.0,Terr.,242.1 sq.m.,474206.54
1000137,Teasdale,2023-01-05,4.5,4.0,Semi,288.0 sq.m.,463293.77
1000138,Riverford,2023-01-05,11.3,5.0,nan,64.7 sq.m.,256845.11
1000139,--,2023-01-05,4.0,,Terraced,95.4 sq.m.,
1000140,--,2023-01-05,8.4,2.0,Det.,124.5 sq.m.,
1000141,Silvertown,2023-01-05,11.8,6.0,nan,85.6 sq.m.,313177.07
1000142,Riverford,2023-01-05,11.5,1.0,Terraced,114.5 sq.m.,235586.53
1000143,Riverford,2023-01-05,4.2,4.0,Semi-detached,274.9 sq.m.,
1000144,Silvertown,2023-01-05,8.9,5.0,Detached,109.9 sq.m.,321097.67
1000145,Silvertown,2023-01-05,5.9,1.0,Terr.,109.1 sq.m.,215806.51
1000146,Teasdale,2023-01-05,6.3,3.0,Semi,176.1 sq.m.,
1000147,Riverford,2023-01-05,6.9,2.0,Semi,117.3 sq.m.,250777.88
1000148,Silvertown,2023-01-05,8.7,1.0,Detached,188.3 sq.m.,311372.48
1000149,Silvertown,2023-01-05,7.8,6.0,Terr.,57.2 sq.m.,292142.66
1000150,Poppleton,2023-01-05,3.7,,Detached,278.4 sq.m.,435334.56
1000151,Silvertown,2023-01-05,6.8,1.0,Semi-detached,,274697.71
1000152,Silvertown,2023-01-05,1.6,4.0,Terraced,196.5 sq.m.,
1000153,Riverford,2023-01-05,8.9,2.0,nan,240.7 sq.m.,371875.83
1000154,--,2023-01-05,9.5,4.0,Semi,81.4 sq.m.,270802.75
1000155,Silvertown,2023-01-05,,4.0,Semi-detached,161.5 sq.m.,352262.8
1000156,Teasdale,2023-01-05,11.2,5.0,Terraced,175.1 sq.m.,369181.57
1000157,Teasdale,2023-01-05,11.3,5.0,Semi-detached,85.6 sq.m.,287142.18
1000158,Silvertown,2023-01-05,6.3,5.0,Terr.,92.0 sq.m.,284326.17
1000159,Teasdale,2023-01-05,11.6,1.0,Semi,288.2 sq.m.,402765.77
1000160,Riverford,,8.1,4.0,nan,188.8 sq.m.,356931.35
1000161,Teasdale,2023-01-05,2.0,5.0,Detached,,347325.02
1000162,Teasdale,2023-01-05,6.9,6.0,Detached,290.3 sq.m.,509886.23
1000163,Riverford,2023-01-05,11.3,3.0,Terraced,213.3 sq.m.,
1000164,Silvertown,2023-01-05,2.9,3.0,nan,65.0 sq.m.,235242.76
1000165,Poppleton,,2.9,6.0,Det.,118.3 sq.m.,332448.18
1000166,Riverford,2023-01-05,12.0,,Terr.,220.0 sq.m.,368682.44
1000167,Silvertown,2023-01-05,6.4,3.0,Terraced,260.6 sq.m.,429238.2
1000168,Silvertown,2023-01-05,11.6,4.0,Det.,260.2 sq.m.,
1000169,Riverford,2023-01-05,10.6,4.0,Semi-detached,90.4 sq.m.,268608.32
1000170,Teasdale,2023-01-05,,,Terr.,67.5 sq.m.,241091.35
1000171,Silvertown,2023-01-05,2.2,2.0,Semi-detached,224.6 sq.m.,
1000172,Riverford,2023-01-05,4.1,2.0,nan,231.3 sq.m.,364408.96
1000173,Silvertown,2023-01-05,7.0,1.0,Semi,269.6 sq.m.,383612.39
1000174,Teasdale,2023-01-05,11.3,1.0,Terr.,176.2 sq.m.,282991.6
1000175,Silvertown,2023-01-05,6.1,5.0,Det.,271.0 sq.m.,467518.09
1000176,Teasdale,,2.2,3.0,Semi,208.8 sq.m.,
1000177,Riverford,2023-01-05,6.0,,Detached,226.9 sq.m.,385220.59
1000178,Poppleton,2023-01-05,3.0,1.0,Det.,215.6 sq.m.,331979.81
1000179,Silvertown,2023-01-05,9.7,4.0,Terraced,102.7 sq.m.,283674.76
1000180,Riverford,2023-01-05,9.3,,Detached,132.1 sq.m.,278039.18
1000181,Silvertown,2023-01-05,10.4,5.0,Detached,83.4 sq.m.,296516.72
1000182,Poppleton,2023-01-05,10.1,5.0,Terraced,202.2 sq.m.,409834.34
1000183,Poppleton,,2.0,3.0,Terr.,,319844.73
1000184,Silvertown,2023-01-05,3.0,5.0,Detached,,357599.55
1000185,Teasdale,2023-01-05,4.6,2.0,nan,188.9 sq.m.,314720.35
1000186,Poppleton,2023-01-05,3.9,6.0,Det.,172.2 sq.m.,395845.92
1000187,Riverford,2023-01-05,9.3,,Semi,70.3 sq.m.,238778.38
1000188,Riverford,2023-01-05,4.3,6.0,Detached,212.8 sq.m.,440372.02
1000189,Silvertown,2023-01-05,1.1,3.0,Det.,273.1 sq.m.,434698.82
1000190,Silvertown,2023-01-05,8.6,3.0,Semi-detached,161.3 sq.m.,334274.18
1000191,Poppleton,2023-01-05,2.3,6.0,Det.,293.0 sq.m.,527726.73
1000192,Poppleton,2023-01-05,5.5,1.0,Semi,200.3 sq.m.,318015.05
1000193,Teasdale,2023-01-05,10.8,1.0,Det.,259.8 sq.m.,387870.37
1000194,Riverford,2023-01-05,4.4,6.0,Terraced,295.9 sq.m.,529709.15
1000195,Riverford,2023-01-05,11.1,6.0,Semi,142.6 sq.m.,377378.39
1000196,Teasdale,2023-01-05,7.8,1.0,Terr.,52.3 sq.m.,184531.38
1000197,Poppleton,,2.5,,Semi-detached,239.6 sq.m.,405077.96
1000198,Poppleton,2023-01-05,9.2,6.0,Terraced,227.3 sq.m.,462264.18
1000199,Teasdale,2023-01-05,5.6,4.0,Terr.,254.1 sq.m.,427974.75
1000200,Teasdale,2023-01-05,6.2,6.0,Det.,252.1 sq.m.,458258.19
1000201,Silvertown,2023-01-05,8.3,3.0,Semi,295.0 sq.m.,448062.42
1000202,Silvertown,2023-01-05,3.7,5.0,Semi-detached,59.2 sq.m.,263790.93
1000203,Poppleton,2023-01-05,10.6,2.0,Terraced,226.0 sq.m.,351370.17
1000204,Teasdale,2023-01-05,5.9,4.0,Terr.,51.8 sq.m.,236623.29
1000205,Silvertown,2023-01-05,1.9,6.0,Terr.,209.6 sq.m.,440027.78
1000206,Silvertown,2023-01-05,1.7,,Semi-detached,119.3 sq.m.,264818.0
1000207,Teasdale,,6.6,5.0,nan,92.6 sq.m.,
1000208,Silvertown,2023-01-05,2.6,4.0,Det.,234.7 sq.m.,
1000209,Silvertown,2023-01-05,6.7,2.0,Semi-detached,200.7 sq.m.,344832.29
1000210,Riverford,2023-01-05,3.3,,Terr.,197.0 sq.m.,354258.33
1000211,Teasdale,2023-01-05,2.0,3.0,Detached,81.9 sq.m.,229286.41
1000212,Teasdale,2023-01-05,9.9,2.0,Terraced,263.9 sq.m.,405443.44
1000213,Silvertown,2023-01-05,6.6,5.0,Semi-detached,232.2 sq.m.,430413.19
1000214,Teasdale,2023-01-05,1.6,1.0,nan,261.9 sq.m.,390502.07
1000215,Silvertown,2023-01-05,9.9,4.0,Terr.,,329847.87
1000216,Riverford,2023-01-05,5.4,1.0,Det.,219.4 sq.m.,329634.86
1000217,Teasdale,2023-01-05,9.2,3.0,Terr.,220.2 sq.m.,384879.34
1000218,Teasdale,2023-01-05,1.5,3.0,Det.,50.5 sq.m.,215138.02
1000219,Poppleton,2023-01-05,1.7,6.0,Semi-detached,218.3 sq.m.,438501.58
1000220,Teasdale,2023-01-05,11.3,6.0,Det.,263.5 sq.m.,478020.03
1000221,Riverford,2023-01-05,11.3,6.0,Semi,261.1 sq.m.,472938.57
1000222,Silvertown,2023-01-05,,6.0,Semi,80.4 sq.m.,315159.13
1000223,Riverford,2023-01-05,9.5,4.0,Semi,173.9 sq.m.,339383.55
1000224,Silvertown,,11.8,2.0,nan,60.9 sq.m.,211382.22
1000225,Silvertown,2023-01-05,5.6,3.0,nan,61.7 sq.m.,208041.99
1000226,--,2023-01-05,5.2,3.0,Detached,183.1 sq.m.,331374.9
1000227,Riverford,2023-01-05,11.0,2.0,nan,148.0 sq.m.,276395.48
1000228,Poppleton,2023-01-05,8.5,2.0,Semi-detached,270.0 sq.m.,
1000229,Teasdale,2023-01-05,6.9,6.0,Terr.,297.6 sq.m.,519710.98
1000230,Teasdale,,4.8,2.0,Terr.,222.4 sq.m.,367830.49
1000231,Riverford,2023-01-05,6.9,6.0,Detached,279.2 sq.m.,
1000232,Riverford,2023-01-05,9.0,2.0,nan,132.3 sq.m.,265792.53
1000233,Riverford,2023-01-05,1.0,2.0,Det.,206.3 sq.m.,
1000234,Silvertown,2023-01-05,,5.0,Detached,,345808.61
1000235,Teasdale,2023-01-05,8.4,3.0,Det.,56.0 sq.m.,227921.77
1000236,Silvertown,2023-01-05,6.9,5.0,Det.,283.8 sq.m.,497074.39
1000237,Silvertown,2023-01-05,3.7,1.0,Terraced,111.8 sq.m.,217734.72
1000238,Teasdale,2023-01-05,4.0,2.0,Terr.,289.7 sq.m.,423426.18
1000239,Silvertown,2023-01-05,9.0,3.0,Semi,255.4 sq.m.,418136.82
1000240,Poppleton,2023-01-05,9.9,4.0,nan,109.2 sq.m.,280544.39
1000241,--,2023-01-05,9.4,3.0,Det.,200.0 sq.m.,366473.04
1000242,Poppleton,2023-01-05,1.2,6.0,Terraced,73.9 sq.m.,302404.01
1000243,Riverford,2023-01-05,2.1,3.0,Terr.,81.2 sq.m.,254398.2
1000244,Silvertown,2023-01-05,,2.0,Semi,279.2 sq.m.,421680.59
1000245,Poppleton,2023-01-05,8.7,2.0,Det.,272.5 sq.m.,402002.24
1000246,Riverford,2023-01-05,,,Det.,245.7 sq.m.,410176.36
1000247,--,2023-01-05,5.4,5.0,Detached,250.6 sq.m.,464358.76
1000248,--,2023-01-05,3.4,5.0,Detached,202.7 sq.m.,404662.07
1000249,Poppleton,2023-01-05,1.6,5.0,Terr.,75.5 sq.m.,279409.73
1000250,Silvertown,2023-01-05,4.2,6.0,Semi,63.1 sq.m.,284269.02
1000251,Riverford,2023-01-05,9.0,,Det.,150.4 sq.m.,321754.39
1000252,Poppleton,,7.6,4.0,Terr.,152.8 sq.m.,336013.06
1000253,Riverford,2023-01-05,4.5,5.0,Terr.,246.9 sq.m.,447510.08
1000254,Silvertown,2023-01-05,2.6,6.0,Semi-detached,163.4 sq.m.,374250.71
1000255,Riverford,2023-01-05,3.4,4.0,nan,157.0 sq.m.,349332.09
1000256,Poppleton,,1.7,2.0,Detached,75.3 sq.m.,224270.18
1000257,Teasdale,2023-01-05,10.7,2.0,Semi,218.9 sq.m.,350826.72
1000258,Riverford,2023-01-05,7.9,,Det.,,324171.91
1000259,Silvertown,2023-01-05,6.5,1.0,Terr.,197.0 sq.m.,315350.22
1000260,Teasdale,2023-01-05,11.4,4.0,Det.,53.1 sq.m.,230397.77
1000261,--,2023-01-05,9.6,6.0,Semi-detached,198.2 sq.m.,
1000262,Silvertown,2023-01-05,5.6,2.0,Semi,276.1 sq.m.,403393.31
1000263,Riverford,2023-01-05,5.1,4.0,Terr.,177.2 sq.m.,356724.64
1000264,Poppleton,2023-01-05,6.2,4.0,Det.,170.3 sq.m.,358889.12
1000265,Teasdale,2023-01-05,4.3,4.0,Detached,96.5 sq.m.,286334.63
1000266,Teasdale,2023-01-05,9.9,4.0,nan,61.0 sq.m.,253771.51
1000267,Teasdale,2023-01-05,7.2,1.0,Semi-detached,196.1 sq.m.,328377.97
1000268,Riverford,2023-01-05,7.1,4.0,Semi,212.9 sq.m.,397877.08
1000269,Silvertown,,3.7,4.0,Semi-detached,195.9 sq.m.,384775.68
1000270,Poppleton,2023-01-05,8.1,6.0,Detached,86.4 sq.m.,294938.92
1000271,Poppleton,2023-01-05,10.3,5.0,Semi,200.8 sq.m.,400950.78
1000272,Poppleton,2023-01-05,9.0,6.0,Semi-detached,292.6 sq.m.,512426.01
1000273,Poppleton,2023-01-05,4.0,5.0,Terraced,214.4 sq.m.,405343.13
1000274,Riverford,2023-01-05,7.6,4.0,Detached,109.3 sq.m.,287922.07
1000275,Riverford,2023-01-05,3.1,1.0,Detached,189.9 sq.m.,307458.77
1000276,Teasdale,2023-01-05,9.0,2.0,Detached,136.0 sq.m.,282341.46
1000277,Teasdale,2023-01-05,6.3,4.0,Terraced,210.1 sq.m.,378129.86
1000278,Teasdale,2023-01-05,4.7,1.0,Terraced,67.1 sq.m.,197115.76
1000279,Teasdale,2023-01-05,1.2,5.0,Det.,168.9 sq.m.,
1000280,Poppleton,2023-01-05,11.6,1.0,Terr.,166.9 sq.m.,274090.44
1000281,Riverford,2023-01-05,12.0,4.0,nan,263.0 sq.m.,443879.29
1000282,Riverford,2023-01-05,3.7,3.0,Semi-detached,133.9 sq.m.,291570.76
1000283,Silvertown,2023-01-05,3.2,3.0,Det.,132.2 sq.m.,298107.86
1000284,Riverford,2023-01-05,7.1,4.0,Semi-detached,269.0 sq.m.,442801.76
1000285,Silvertown,2023-01-05,5.2,1.0,nan,174.0 sq.m.,303741.47
1000286,Riverford,2023-01-05,5.0,2.0,Terr.,209.7 sq.m.,352962.72
1000287,Riverford,,6.6,6.0,Terraced,166.6 sq.m.,393265.39
1000288,Silvertown,2023-01-05,2.1,6.0,Terr.,170.2 sq.m.,
1000289,Riverford,2023-01-05,6.2,2.0,Terraced,253.7 sq.m.,407197.57
1000290,Silvertown,,11.1,6.0,nan,144.0 sq.m.,367924.96
1000291,Silvertown,2023-01-05,5.6,4.0,Terr.,256.5 sq.m.,434570.7
1000292,Poppleton,2023-01-05,3.4,4.0,Det.,,336003.41
1000293,Riverford,2023-01-05,3.9,,Semi,,316711.22
1000294,Silvertown,2023-01-05,7.4,6.0,Det.,188.7 sq.m.,418303.18
1000295,Riverford,2023-01-05,2.7,4.0,Semi-detached,160.1 sq.m.,329667.69
1000296,Teasdale,2023-01-05,5.2,3.0,Det.,278.2 sq.m.,
1000297,Silvertown,,6.5,6.0,nan,293.8 sq.m.,519017.21
1000298,Teasdale,,8.5,6.0,Detached,121.0 sq.m.,335613.11
1000299,Silvertown,2023-01-05,10.0,1.0,Semi-detached,115.5 sq.m.,242176.0
1000300,Silvertown,2023-01-05,8.1,4.0,Terr.,261.9 sq.m.,450090.19
1000301,Riverford,2023-01-05,2.9,1.0,Semi-detached,99.0 sq.m.,218798.8
1000302,Riverford,2023-01-05,2.9,4.0,Semi,115.4 sq.m.,
1000303,Teasdale,2023-01-05,6.4,5.0,Terraced,257.9 sq.m.,458655.81
1000304,Teasdale,2023-01-05,7.0,2.0,Terr.,213.7 sq.m.,366541.31
1000305,--,2023-01-05,1.6,4.0,Semi-detached,134.6 sq.m.,311122.03
1000306,Riverford,2023-01-05,,,Terr.,164.1 sq.m.,337705.41
1000307,Riverford,2023-01-05,11.4,3.0,Terr.,143.1 sq.m.,
1000308,Teasdale,2023-01-05,9.4,6.0,Terr.,181.7 sq.m.,413171.52
1000309,Silvertown,2023-01-05,10.3,2.0,Terraced,205.8 sq.m.,343716.13
1000310,Riverford,2023-01-05,8.8,2.0,nan,227.7 sq.m.,379087.51
1000311,Silvertown,2023-01-05,,1.0,Det.,270.7 sq.m.,386120.37
1000312,Silvertown,2023-01-05,5.1,3.0,Terr.,97.4 sq.m.,251035.29
1000313,--,2023-01-05,8.3,4.0,Detached,223.6 sq.m.,395309.0
1000314,Poppleton,2023-01-05,6.3,2.0,nan,157.4 sq.m.,310576.15
1000315,Teasdale,2023-01-05,1.1,2.0,Semi,280.3 sq.m.,423485.11
1000316,Riverford,2023-01-05,1.1,1.0,Terraced,196.8 sq.m.,308750.24
1000317,Silvertown,2023-01-05,4.0,3.0,Semi-detached,123.5 sq.m.,271379.28
1000318,Silvertown,2023-01-05,1.2,,Terraced,111.8 sq.m.,272060.95
1000319,Silvertown,2023-01-05,8.4,4.0,Semi-detached,120.0 sq.m.,302951.75
1000320,Riverford,2023-01-05,11.0,1.0,Terraced,177.1 sq.m.,
1000321,Teasdale,2023-01-05,2.1,4.0,Semi-detached,172.2 sq.m.,353337.48
1000322,Teasdale,2023-01-05,3.1,5.0,Terr.,246.2 sq.m.,445850.98
1000323,Silvertown,2023-01-05,10.0,4.0,Det.,203.7 sq.m.,379786.22
1000324,--,,5.4,1.0,Semi-detached,147.0 sq.m.,280436.39
1000325,Teasdale,2023-01-05,5.5,1.0,Semi-detached,237.8 sq.m.,356144.74
1000326,Riverford,2023-01-05,11.9,5.0,Detached,179.7 sq.m.,378315.48
1000327,Teasdale,2023-01-05,8.5,6.0,Semi-detached,228.1 sq.m.,454587.53
1000328,Riverford,2023-01-05,8.2,2.0,Detached,170.8 sq.m.,299398.22
